,Organization Name,Organization Name URL,Headquarters Location,Industries,Last Funding Type,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Number of Employees,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Number of Funding Rounds,Acquisition Status,Acquired by,Acquired by URL,Number of Acquisitions,Acquisition Price Currency (in USD),Number of Founders,Unnamed: 20,Acquisition Price,Price Currency,Company Type,Founded Date,Twitter,Facebook,LinkedIn,Funding Status,Acquisition Type,Announced Date,Estimated Revenue Range
485,Great Rock Capital,https://www.crunchbase.com/organization/great-rock-capital,"Westport, Connecticut, United States","Finance, Financial Services, Venture Capital",Debt Financing,2019-08-21,45000000.0,CAD,33863102.0,11-50,83863102.0,USD,83863102.0,2.0,,,,,,,,,,,2015-01-01,,,https://www.linkedin.com/company/great-rock-capital-partners-llc/,,,,Less than $1M
486,H Code Media,https://www.crunchbase.com/organization/h-code-media,"Santa Monica, California, United States","Advertising, Digital Media, Marketing",Debt Financing,2019-12-17,4000000.0,USD,4000000.0,1-10,4000000.0,USD,4000000.0,2.0,Made Acquisitions,,,1.0,,1.0,,,,For Profit,2015-01-01,,,https://www.linkedin.com/company/10245951?trk=prof-exp-company-name,Seed,,,Less than $1M
531,Manoa Botanicals,https://www.crunchbase.com/organization/manoa-botanicals,"Honolulu, Hawaii, United States","Cannabis, Farming, Medical",Debt Financing,2016-06-01,2055000.0,USD,2055000.0,1-10,5955000.0,USD,5955000.0,2.0,,,,,,2.0,,,,For Profit,2015-01-01,https://twitter.com/manoabotanicals,,https://www.linkedin.com/company/manoa-botanicals-llc,,,,Less than $1M
589,Lenny Credit,https://www.crunchbase.com/organization/lenny,"Santa Monica, California, United States","Finance, Financial Services, Lending",Debt Financing,2015-12-08,500000.0,USD,500000.0,1-10,900000.0,USD,900000.0,2.0,,,,,,3.0,,,,For Profit,2015-01-01,https://twitter.com/getlenny,https://www.facebook.com/joinlenny/timeline,https://www.linkedin.com/company/6789332?trk=prof-exp-company-name,Seed,,,Less than $1M
656,Pricerazzi,https://www.crunchbase.com/organization/pricerazzi,"Winnipeg, Manitoba, Canada","Analytics, Consumer, E-Commerce, Internet, Software",Debt Financing,2019-08-07,1000000.0,USD,1000000.0,1-10,1350000.0,USD,1350000.0,2.0,,,,,,1.0,,,,For Profit,2015-01-01,https://www.twitter.com/pricerazzi,https://www.facebook.com/pricerazzi,https://www.linkedin.com/company/pricerazzi,Seed,,,Less than $1M
711,OmniTier Storage,https://www.crunchbase.com/organization/omnitier-storage,"Santa Clara, California, United States","Information Services, Information Technology, Management Consulting",Debt Financing,2015-08-26,3000000.0,USD,3000000.0,11-50,3000000.0,USD,3000000.0,1.0,,,,,,2.0,,,,For Profit,2015-01-01,,,,,,,Less than $1M
769,Arrevus,https://www.crunchbase.com/organization/arrevus,"Raleigh, North Carolina, United States","Biotechnology, Pharmaceutical",Debt Financing,2019-10-16,250000.0,USD,250000.0,1-10,1250000.0,USD,1250000.0,2.0,,,,,,1.0,,,,For Profit,2015-01-01,,,,,,,Less than $1M
839,Aimtell,https://www.crunchbase.com/organization/aimtell,"Mission Viejo, California, United States","Marketing, Mobile Devices",Debt Financing,2018-04-10,60000.0,USD,60000.0,1-10,60000.0,USD,60000.0,1.0,,,,,,1.0,,,,For Profit,2015-01-01,https://twitter.com/aimtell,https://www.facebook.com/pg/aimtell/,https://www.linkedin.com/company/aimtell/,,,,Less than $1M
852,QuickLiquidity,https://www.crunchbase.com/organization/quickliquidity,"Boca Raton, Florida, United States","Commercial Lending, Commercial Real Estate, Finance, Real Estate, Real Estate Investment",Debt Financing,2019-07-02,600000.0,USD,600000.0,11-50,2350000.0,USD,2350000.0,2.0,,,,,,1.0,,,,For Profit,2015-01-01,http://www.twitter.com/quickliquidity,https://www.facebook.com/quickliquidity,http://www.linkedin.com/company/quickliquidity,,,,Less than $1M
858,CANCUN SYSTEMS,https://www.crunchbase.com/organization/cancun-systems,"Mountain View, California, United States","Analytics, Big Data, Enterprise, Information Technology, Infrastructure",Debt Financing,2016-07-01,1050000.0,USD,1050000.0,1-10,1050000.0,USD,1050000.0,1.0,,,,,,2.0,,,,For Profit,2015-01-01,https://twitter.com/cancunsystems,,,,,,Less than $1M
999,Healigo,https://www.crunchbase.com/organization/wellconnected,"Boston, Massachusetts, United States","Clinical Trials, Internet, SaaS, Software",Debt Financing,2016-03-15,258000.0,USD,258000.0,1-10,258000.0,USD,258000.0,1.0,,,,,,1.0,,,,For Profit,2015-01-01,https://twitter.com/HealigoHealth,https://www.facebook.com/healigo/,https://www.linkedin.com/company-beta/10000349/,,,,Less than $1M
1070,Stenn,https://www.crunchbase.com/organization/stenn,"London, England, United Kingdom",Financial Services,Debt Financing,2020-05-11,200000000.0,USD,200000000.0,101-250,400000000.0,USD,400000000.0,2.0,,,,,,1.0,,,,For Profit,2015-01-01,https://www.twitter.com/Stenn_Intl,https://www.facebook.com/StennIntl/,https://www.linkedin.com/company/stenn-financial-services,,,,$1M to $10M
1074,Credijusto,https://www.crunchbase.com/organization/credijusto,"Mexico City, Distrito Federal, Mexico","Credit, Finance, Financial Services, FinTech, Small and Medium Businesses, Venture Capital",Debt Financing,2020-03-23,100000000.0,USD,100000000.0,101-250,253000000.0,USD,253000000.0,5.0,,,,,,2.0,,,,For Profit,2015-01-01,https://twitter.com/credijusto,https://www.facebook.com/credijusto/,https://www.linkedin.com/company/credijusto/,Early Stage Venture,,,$1M to $10M
1097,Astranis,https://www.crunchbase.com/organization/astranis,"San Francisco, California, United States","Aerospace, Internet, Telecommunications",Debt Financing,2020-02-13,50000000.0,USD,50000000.0,11-50,103619998.0,USD,103619998.0,8.0,,,,,,3.0,,,,For Profit,2015-01-01,https://twitter.com/astranis_space,,https://www.linkedin.com/company/10891165/,Early Stage Venture,,,$1M to $10M
