,Organization Name,Organization Name URL,Headquarters Location,Industries,Last Funding Type,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Number of Employees,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Number of Funding Rounds,Acquisition Status,Acquired by,Acquired by URL,Number of Acquisitions,Acquisition Price Currency (in USD),Number of Founders,Unnamed: 20,Acquisition Price,Price Currency,Company Type,Founded Date,Twitter,Facebook,LinkedIn,Funding Status,Acquisition Type,Announced Date,Estimated Revenue Range
21365,Summit Risk Advisors,https://www.crunchbase.com/organization/summit-risk-advisors,"Avon, Connecticut, United States","Commercial Insurance, Insurance, Property Insurance",Debt Financing,2019-03-03,100000000.0,USD,100000000.0,251-500,100000000.0,USD,100000000.0,1.0,,,,,,1.0,,,,For Profit,2019,,https://www.facebook.com/summitriskadvisors/,https://www.linkedin.com/company/summit-risk-advisors/,,,,$1M to $10M
21366,Colibra,https://www.crunchbase.com/organization/colibra,"Birkirkara, NA - Malta, Malta",Travel,Seed,2019-02-09,2000000.0,EUR,2265500.0,11-50,2000000.0,EUR,2265500.0,1.0,,,,,,4.0,,,,For Profit,2019,https://twitter.com/wearecolibra,https://www.facebook.com/WeAreColibra/,https://www.linkedin.com/company/wearecolibra/,Seed,,,$10M to $50M
21367,Horizen Labs,https://www.crunchbase.com/organization/horizen-labs,"Austin, Texas, United States","Blockchain, Information Technology",Seed,2019-04-11,4000000.0,USD,4000000.0,11-50,4000000.0,USD,4000000.0,1.0,,,,,,2.0,,,,,2019,https://twitter.com/horizenlabs,https://www.facebook.com/horizenlabs.io/,https://www.linkedin.com/company/horizenlabs/,Seed,,,$1M to $10M
21369,Solvent,https://www.crunchbase.com/organization/solvent-f083,"Annapolis, Maryland, United States","Blockchain, Financial Services, FinTech, Fraud Detection, Payments, SaaS, Software",Seed,2019-03-01,850000.0,USD,850000.0,11-50,850000.0,USD,850000.0,1.0,,,,,,6.0,,,,For Profit,2019,https://twitter.com/getsolvent,https://www.facebook.com/getsolvent,https://www.linkedin.com/company/getsolvent,Seed,,,$1M to $10M
21371,RIngLogix,https://www.crunchbase.com/organization/ringlogix-llc,"Miami Lakes, Florida, United States","PaaS, SaaS, Telecommunications, VoIP",Seed,2019-02-01,1500000.0,USD,1500000.0,11-50,1500000.0,USD,1500000.0,1.0,,,,,,2.0,,,,For Profit,2019,,,https://www.linkedin.com/company/ringlogix,Seed,,,$1M to $10M
21372,FiNANCiE,https://www.crunchbase.com/organization/financie,"Tokyo, Tokyo, Japan",Social Network,Seed,2019-03-26,300000000.0,JPY,2713161.0,,300000000.0,JPY,2713161.0,1.0,,,,,,3.0,,,,For Profit,2019,https://twitter.com/financie_jp,,,Seed,,,$10M to $50M
21373,BCN3D,https://www.crunchbase.com/organization/bcn3d-technologies,"Castelldefels, Catalonia, Spain","Consumer Electronics, Information Technology, Manufacturing, Software",Seed,2019-03-27,3000000.0,USD,3000000.0,51-100,3000000.0,USD,3000000.0,1.0,,,,,,3.0,,,,For Profit,2019,https://www.twitter.com/bcn3dtech,https://www.facebook.com/bcn3dtechnologies,https://www.linkedin.com/company/bcn3d-technologies/?originalSubdomain=es,Seed,,,$10M to $50M
21377,Savvy,https://www.crunchbase.com/organization/savvy-6ff7,"New York, New York, United States","Information Technology, Real Estate, Software",Pre-Seed,2020-01-03,150000.0,USD,150000.0,1-10,150000.0,USD,150000.0,1.0,,,,,,2.0,,,,For Profit,2019,,https://www.facebook.com/savvyscreen/,https://www.linkedin.com/company/savvyscreen,Seed,,,$1M to $10M
21381,Rydable,https://www.crunchbase.com/organization/rydable,"Los Angeles, California, United States",Manufacturing,Seed,2019-10-15,510000.0,GBP,650762.0,11-50,1135762.0,USD,1135762.0,2.0,,,,,,2.0,,,,For Profit,2019,,https://facebook.com/rydable,https://www.linkedin.com/company/rydable,Seed,,,$1M to $10M
21384,MultiVu Technologies,https://www.crunchbase.com/organization/multivu-technologies,"Tel Aviv, Tel Aviv, Israel","Health Care, Information Technology, Manufacturing, Mobile, Security",Seed,2019-05-16,7000000.0,USD,7000000.0,11-50,7000000.0,USD,7000000.0,1.0,,,,,,1.0,,,,For Profit,2019,,,https://www.linkedin.com/company/multivu-technologies/,Seed,,,$10M to $50M
21387,Sixth Man,https://www.crunchbase.com/organization/6th-man-apps,"New York, New York, United States","Analytics, Software, Sports",Pre-Seed,2019-06-10,120000.0,USD,120000.0,1-10,120000.0,USD,120000.0,1.0,,,,,,1.0,,,,For Profit,2019,http://twitter.com/6thmanapps,,https://www.linkedin.com/company/6th-man-apps,Seed,,,$1M to $10M
21390,Ascend Goals,https://www.crunchbase.com/organization/skoolaide,"Charlotte, North Carolina, United States","Education, Service Industry, Social",Angel,2019-08-01,200000.0,USD,200000.0,1-10,200000.0,USD,200000.0,1.0,,,,,,2.0,,,,,2019,https://twitter.com/AscendGoals,https://www.facebook.com/AscendGoals,https://www.linkedin.com/company/ascendgoals,Seed,,,$1M to $10M
21503,Measure,https://www.crunchbase.com/organization/measure-2,"Washington, District of Columbia, United States","Drones, Geospatial, Mapping Services, Software",Series B,2017-01-17,22000000.0,USD,22000000.0,1-10,27500000.0,USD,27500000.0,3.0,Made Acquisitions,,,1.0,,4.0,,,,For Profit,2020,https://twitter.com/droneasaservice,https://www.facebook.com/measureuas,https://www.linkedin.com/company/measureuas/,Early Stage Venture,,,$1M to $10M
21510,Eternity Medicine,https://www.crunchbase.com/organization/eternity-medicine-institute,"Henderson, Nevada, United States","Biotechnology, Health Care, Medical, Wellness",Seed,2010-03-05,200000.0,USD,200000.0,1-10,200000.0,USD,200000.0,1.0,,,,,,1.0,,,,,2020,https://twitter.com/EternityMedici1,,,Seed,,,$1M to $10M
