,Organization Name,Organization Name URL,Headquarters Location,Industries,Last Funding Type,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Number of Employees,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Number of Funding Rounds,Acquisition Status,Acquired by,Acquired by URL,Number of Acquisitions,Acquisition Price Currency (in USD),Number of Founders,Unnamed: 20,Acquisition Price,Price Currency,Company Type,Founded Date,Twitter,Facebook,LinkedIn,Funding Status,Acquisition Type,Announced Date,Estimated Revenue Range
3801,Even Financial,https://www.crunchbase.com/organization/even-financial,"New York, New York, United States","Finance, Financial Services, FinTech",Corporate Round,2019-09-04,25000000.0,USD,25000000.0,101-250,50000000.0,USD,50000000.0,4.0,Made Acquisitions,,,2.0,,3.0,,,,For Profit,2015-03-01,https://twitter.com/evenfinancial,https://www.facebook.com/evenfinancial,https://www.linkedin.com/company/even-financial,,,,$10M to $50M
3820,Kittyhawk,https://www.crunchbase.com/organization/kittyhawk,"San Francisco, California, United States","Drones, Enterprise Software, PaaS, Robotics, SaaS, Software",Corporate Round,2018-10-03,3000000.0,USD,3000000.0,11-50,9500000.0,USD,9500000.0,4.0,,,,,,2.0,,,,For Profit,2015-03-01,https://twitter.com/kittyhawkio,https://www.facebook.com/Kittyhawk.io/,https://www.linkedin.com/company/6576042?trk=prof-exp-company-name,,,,$1M to $10M
3988,Kids Corp,https://www.crunchbase.com/organization/kids-corp,"Buenos Aires, Distrito Federal, Argentina","Advertising, Advertising Platforms, Teenagers",Corporate Round,2019-04-12,,,,251-500,135000.0,USD,135000.0,4.0,,,,,,2.0,,,,For Profit,2015-03-01,https://www.twitter.com/kidscorpdigital,https://www.facebook.com/kidscorp.digital,https://www.linkedin.com/company/9371855/,,,,$1M to $10M
4709,Tipi,https://www.crunchbase.com/organization/tipi-2,"Sydney, New South Wales, Australia","Apps, Hotel, Mobile Apps, Mobile Devices, Software",Corporate Round,2019-09-02,3000000.0,USD,3000000.0,11-50,3000000.0,USD,3000000.0,1.0,,,,,,1.0,,,,For Profit,2015-04-27,,,,,,,$1M to $10M
4793,Talentify.io,https://www.crunchbase.com/organization/talentify-io,"Barueri, Sao Paulo, Brazil","Human Resources, Mobile, Recruiting",Corporate Round,2018-01-11,,,,11-50,500000.0,USD,500000.0,2.0,,,,,,1.0,,,,For Profit,2015-04-15,https://twitter.com/talentifyio,https://www.facebook.com/Talentifyio-372576449589053/,https://www.linkedin.com/company/recruiters-do-brasil,,,,$1M to $10M
5455,Recharge,https://www.crunchbase.com/organization/recharge,"San Francisco, California, United States","Hospitality, Hotel, Internet, Mobile, Software",Corporate Round,2019-01-29,,,,1-10,2300000.0,USD,2300000.0,3.0,,,,,,4.0,,,,For Profit,2015-05-01,https://twitter.com/recharge,https://www.facebook.com/tryrecharge,https://www.linkedin.com/company/6459539?trk=prof-exp-company-name,,,,$1M to $10M
5473,Wahed Invest,https://www.crunchbase.com/organization/wahed-invest-inc,"New City, New York, United States","Advice, Compliance, Financial Services",Corporate Round,2019-09-19,,,,51-100,15000000.0,USD,15000000.0,3.0,,,,,,1.0,,,,For Profit,2015-05-01,https://twitter.com/wahedinvest,https://www.facebook.com/WahedInvest/,https://www.linkedin.com/company/wahed-invest-inc-,,,,$10M to $50M
5486,CassTime,https://www.crunchbase.com/organization/casstime,"Shenzhen, Guangdong, China","Automotive, E-Commerce, E-Commerce Platforms, SaaS, Trading Platform, Transportation",Corporate Round,2019-12-19,,,,1001-5000,175348303.0,USD,175348303.0,5.0,,,,,,1.0,,,,For Profit,2015-05-20,,,https://www.linkedin.com/company/casstime.com/,,,,$1M to $10M
5717,Jungo,https://www.crunchbase.com/organization/powered-by-the-crowd,"Amsterdam, Noord-Holland, The Netherlands","Banking, Financial Services, FinTech",Corporate Round,2018-02-22,,,,1-10,,,,1.0,,,,,,2.0,,,,For Profit,2015-05-01,https://www.twitter.com/jungo_nl,https://www.facebook.com/poweredbythecrowd,https://www.linkedin.com/company/10244674,,,,$1M to $10M
6247,Treebo Hotels,https://www.crunchbase.com/organization/treebo-hotels,"Bengaluru, Karnataka, India","Hospitality, Hotel, Internet",Corporate Round,2020-01-02,458000.0,USD,458000.0,501-1000,57458000.0,USD,57458000.0,6.0,Made Acquisitions,,,1.0,,3.0,,,,For Profit,2015-06-01,https://twitter.com/TreeboHotels,https://www.facebook.com/TreeboHotels,https://www.linkedin.com/company/treebohotels,,,,$1M to $10M
