,Organization Name,Organization Name URL,Headquarters Location,Industries,Last Funding Type,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Number of Employees,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Number of Funding Rounds,Acquisition Status,Acquired by,Acquired by URL,Number of Acquisitions,Acquisition Price Currency (in USD),Number of Founders,Unnamed: 20,Acquisition Price,Price Currency,Company Type,Founded Date,Twitter,Facebook,LinkedIn,Funding Status,Acquisition Type,Announced Date,Estimated Revenue Range
11349,Stem Holdings,https://www.crunchbase.com/organization/stem-holdings,"Boca Raton, Florida, United States","Agriculture, Impact Investing, Retail",Post-IPO Equity,2019-12-23,10000000.0,USD,10000000.0,101-250,10000000.0,USD,10000000.0,1.0,Made Acquisitions,,,1.0,,,,,,For Profit,2016-01-01,https://twitter.com/StemHoldings,https://www.facebook.com/pages/category/Investment-Management-Company/Stem-Holdings-Inc-453207005125088/,https://www.linkedin.com/company/stem-holdings/,IPO,,,Less than $1M
11470,Neurotech International,https://www.crunchbase.com/organization/neurotech-international,"Perth, Western Australia, Australia","Life Science, Medical, Medical Device",Post-IPO Equity,2017-10-16,4000000.0,USD,4000000.0,,4000000.0,USD,4000000.0,1.0,,,,,,1.0,,,,,2016-01-01,https://www.twitter.com/aatresearch,https://www.facebook.com/aatresearch,https://www.linkedin.com/company/aat-research,IPO,,,Less than $1M
11494,Koligo therapeutics,https://www.crunchbase.com/organization/koligo-therapeutics,"Louisville, Kentucky, United States","Biotechnology, Health Care, Therapeutics",Post-IPO Equity,2018-03-01,2000000.0,USD,2000000.0,1-10,2000000.0,USD,2000000.0,1.0,,,,,,,,,,,2016-01-01,https://twitter.com/koligotx,https://www.facebook.com/pg/koligotherapeutics,https://www.linkedin.com/company/koligo,,,,Less than $1M
11620,Graphex Mining,https://www.crunchbase.com/organization/graphex-mining,"Perth, Western Australia, Australia","Mining, Precious Metals",Post-IPO Equity,2018-03-20,2500000.0,USD,2500000.0,,2500000.0,USD,2500000.0,1.0,,,,,,,,,,,2016-01-01,,,,IPO,,,Less than $1M
12845,Sensera,https://www.crunchbase.com/organization/sensera,"Chelmsford, Massachusetts, United States","Electronics, Manufacturing, Product Design",Post-IPO Equity,2018-08-15,9000000.0,USD,9000000.0,1-10,16000000.0,USD,16000000.0,2.0,,,,,,3.0,,,,,2016-01-01,,,https://www.linkedin.com/company/sensera-inc./,IPO,,,$1M to $10M
12945,Interprivate,https://www.crunchbase.com/organization/interprivate,"New York, New York, United States","Family, Financial Services",Post-IPO Equity,2020-02-03,6180000.0,USD,6180000.0,11-50,6180000.0,USD,6180000.0,1.0,,,,,,1.0,,,,For Profit,2016-01-01,,,https://www.linkedin.com/company/interprivate/,IPO,,,$1M to $10M
13014,Innovative Industrial Properties,https://www.crunchbase.com/organization/innovative-industrial-properties,"San Diego, California, United States",,Post-IPO Equity,2020-01-25,217400000.0,USD,217400000.0,11-50,217400000.0,USD,217400000.0,1.0,,,,,,,,,,For Profit,2016-01-01,,,,IPO,,,$10M to $50M
13090,LXi REIT,https://www.crunchbase.com/organization/lxi-reit,"London, England, United Kingdom",Real Estate,Post-IPO Equity,2018-10-12,175000000.0,GBP,230229835.0,1-10,175000000.0,GBP,230229835.0,1.0,,,,,,,,,,,2016-01-01,,,,IPO,,,$10M to $50M
13470,CFOAM,https://www.crunchbase.com/organization/cfoam,"Triadelphia, West Virginia, United States","Industrial, Industrial Automation, Information Technology",Post-IPO Equity,2017-10-23,4500000.0,USD,4500000.0,11-50,4500000.0,USD,4500000.0,1.0,,,,,,1.0,,,,,2016-03-01,,,https://www.linkedin.com/company/carbon-innovations-llc.-cfoam-ltd.-/,IPO,,,Less than $1M
14152,Vir Biotechnology,https://www.crunchbase.com/organization/vir-biotechnology,"San Francisco, California, United States","Biopharma, Biotechnology, Health Care, Medical",Post-IPO Equity,2020-04-07,250000000.0,USD,250000000.0,101-250,793600000.0,USD,793600000.0,4.0,Made Acquisitions,,,2.0,,2.0,,,,For Profit,2016-04-07,https://twitter.com/vir_biotech,,https://www.linkedin.com/company/vir-biotechnology-inc./,IPO,,,$1M to $10M
